Conejo Valley Unified,"$11,119 ","$110,829 "
Burnt Ranch Elementary,"$17,333 ","$42,969 "
Saucelito Elementary,"$16,051 ","$49,375 "
Kirkwood Elementary,"$12,042 ","$69,375 "
Santa Paula Unified,"$14,021 ","$59,397 "
Windsor Unified,"$12,148 ","$105,938 "
Browns Elementary,"$12,720 ","$103,125 "
San Juan Unified,"$13,148 ","$63,640 "
Auburn Union Elementary,"$12,385 ","$67,410 "
Liberty Elementary - Petaluma,"$14,627 ","$93,750 "
Pacific Elementary,"$12,547 ","$66,484 "
El Monte Union High,"$15,285 ","$52,729 "
Sylvan Union Elementary,"$11,605 ","$71,094 "
Castaic Union,"$10,823 ","$112,926 "
Paramount Unified,"$13,949 ","$59,304 "
Sebastopol Union Elementary,"$17,013 ","$82,027 "
Kingsburg Joint Union High,"$12,350 ","$67,198 "
Helendale Elementary,"$11,793 ","$69,976 "
Romoland Elementary,"$11,805 ","$69,886 "
Paso Robles Joint Unified,"$12,352 ","$67,018 "
Franklin Elementary,"$9,788 ","$79,844 "
Soulsbyville Elementary,"$9,512 ","$81,161 "
Somis Union,"$13,273 ","$101,205 "
El Segundo Unified,"$11,604 ","$109,577 "
Valle Lindo Elementary,"$13,121 ","$62,911 "
Klamath River Union Elementary,"$20,750 ","$24,732 "
Oakdale Joint Unified,"$11,208 ","$72,342 "
Nuestro Elementary,"$8,918 ","$83,750 "
Waugh Elementary,"$10,715 ","$114,297 "
Hueneme Elementary,"$12,577 ","$65,326 "
Mountain Elementary,"$12,336 ","$106,250 "
Greenfield Union Elementary,"$13,526 ","$60,496 "
Etiwanda Elementary,"$11,243 ","$111,790 "
Yucaipa-Calimesa Joint Unified,"$11,758 ","$69,281 "
Sutter Union High,"$11,227 ","$71,914 "
Snowline Joint Unified,"$12,695 ","$64,394 "
Delhi Unified,"$13,804 ","$58,800 "
Sierra-Plumas Joint Unified,"$15,673 ","$49,435 "
Raymond-Knowles Union Elementary,"$14,395 ","$55,625 "
Central Elementary,"$11,154 ","$71,427 "
Redondo Beach Unified,"$11,081 ","$113,596 "
Antelope Valley Union High,"$13,693 ","$58,602 "
Canyon Elementary,"$13,559 ","$101,250 "
Laytonville Unified,"$17,117 ","$41,450 "
Mother Lode Union Elementary,"$11,335 ","$70,359 "
Fieldbrook Elementary,"$11,168 ","$71,176 "
Capistrano Unified,"$10,665 ","$115,783 "
San Miguel Joint Union,"$11,782 ","$67,962 "
Mt. Baldy Joint Elementary,"$13,872 ","$57,500 "
Scotts Valley Unified,"$10,448 ","$117,083 "
Calaveras Unified,"$12,559 ","$63,967 "
Bogus Elementary,"$15,278 ","$50,357 "
Mammoth Unified,"$12,805 ","$62,639 "
Keyes Union,"$13,197 ","$60,625 "
Lost Hills Union Elementary,"$18,617 ","$33,500 "
Fruitvale Elementary,"$10,490 ","$74,154 "
Cinnabar Elementary,"$15,910 ","$90,000 "
College Elementary,"$17,387 ","$82,614 "
Blue Lake Union Elementary,"$14,899 ","$51,994 "
Biggs Unified,"$12,218 ","$65,292 "
Belleview Elementary,"$13,519 ","$58,654 "
Mountain Valley Unified,"$18,953 ","$31,467 "
Magnolia Elementary,"$12,834 ","$62,044 "
Liberty Union High,"$12,113 ","$109,430 "
Lakeside Union,"$10,364 ","$74,286 "
Scott Valley Unified,"$14,705 ","$52,536 "
Burton Elementary,"$12,564 ","$63,193 "
Nuview Union,"$12,193 ","$64,877 "
Kelseyville Unified,"$14,408 ","$53,778 "
Wiseburn Unified,"$12,098 ","$109,818 "
Le Grand Union Elementary,"$15,404 ","$48,750 "
Pacheco Union Elementary,"$11,172 ","$69,886 "
Jefferson Union High,"$13,761 ","$101,575 "
Siskiyou Union High,"$16,023 ","$45,524 "
Outside Creek Elementary,"$10,883 ","$71,181 "
Mendocino Unified,"$21,599 ","$62,563 "
Adelanto Elementary,"$12,993 ","$60,414 "
Bella Vista Elementary,"$12,127 ","$64,726 "
San Bernardino City Unified,"$15,714 ","$46,743 "
Gustine Unified,"$12,810 ","$61,250 "
Ferndale Unified,"$14,846 ","$51,045 "
Three Rivers Union Elementary,"$10,618 ","$72,188 "
Empire Union Elementary,"$13,157 ","$59,458 "
Hanford Joint Union High,"$12,744 ","$61,455 "
Southern Kern Unified,"$12,983 ","$60,247 "
Menifee Union Elementary,"$10,434 ","$72,993 "
Lincoln Unified,"$11,860 ","$65,858 "
San Jose Unified,"$12,414 ","$108,893 "
Lassen Union High,"$12,816 ","$61,034 "
Gateway Unified,"$15,276 ","$48,654 "
Lompoc Unified,"$12,456 ","$62,740 "
Palmdale Elementary,"$13,697 ","$56,472 "
Westminster,"$12,293 ","$63,422 "
Lennox,"$14,978 ","$49,978 "
Colton Joint Unified,"$12,720 ","$61,254 "
South Bay Union,"$14,442 ","$52,588 "
San Rafael City High,"$14,820 ","$97,421 "
Middletown Unified,"$11,671 ","$66,223 "
Desert Sands Unified,"$13,157 ","$58,738 "
Salinas City Elementary,"$12,690 ","$61,037 "
Nevada City Elementary,"$11,351 ","$67,733 "
Escalon Unified,"$10,769 ","$70,625 "
Kern High,"$14,008 ","$54,398 "
Lemoore Union High,"$12,518 ","$61,824 "
Cuddeback Union Elementary,"$11,604 ","$66,364 "
Chico Unified,"$13,350 ","$57,611 "
El Nido Elementary,"$14,028 ","$54,148 "
Berkeley Unified,"$17,280 ","$85,444 "
East Side Union High,"$13,317 ","$105,274 "
Alameda Unified,"$13,436 ","$104,756 "
South San Francisco Unified,"$13,184 ","$106,209 "
Surprise Valley Joint Unified,"$16,388 ","$42,019 "
Acton-Agua Dulce Unified,"$14,318 ","$100,556 "
Novato Unified,"$13,101 ","$106,657 "
Yuba City Unified,"$13,243 ","$57,703 "
Twin Rivers Unified,"$14,648 ","$50,649 "
Yreka Union High,"$15,302 ","$47,294 "
Maxwell Unified,"$13,424 ","$56,667 "
Central Unified,"$11,995 ","$63,792 "
Colfax Elementary,"$12,731 ","$60,101 "
Burrel Union Elementary,"$15,598 ","$45,625 "
Chualar Union,"$14,107 ","$53,059 "
Freshwater Elementary,"$13,343 ","$56,771 "
Shasta Union Elementary,"$13,974 ","$53,529 "
South Monterey County Joint Union High,"$13,241 ","$57,181 "
Bishop Unified,"$11,871 ","$63,934 "
Lindsay Unified,"$17,927 ","$33,626 "
Castle Rock Union Elementary,"$15,625 ","$45,139 "
Hilmar Unified,"$12,340 ","$61,569 "
Lake Tahoe Unified,"$13,165 ","$57,396 "
Enterprise Elementary,"$13,571 ","$55,296 "
Victor Valley Union High,"$13,948 ","$53,356 "
Saugus Union,"$11,447 ","$115,801 "
Trinity Alps Unified,"$15,289 ","$46,559 "
Union Hill Elementary,"$10,575 ","$70,074 "
Lemoore Union Elementary,"$11,566 ","$65,107 "
Camino Union Elementary,"$11,694 ","$64,438 "
Sonora Union High,"$13,365 ","$56,001 "
Santa Rita Union Elementary,"$10,775 ","$68,918 "
Palm Springs Unified,"$14,904 ","$48,120 "
