National Center for Education Statistics,,,,,,,,,,,,,,,,,
Education Finance Peer Tool,,,,,,,,,,,,,,,,,
The file contains (980) records based on your search.,,,,,,,,,,,,,,,,,
NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user.,,,,,,,,,,,,,,,,,
LEAID,NAME,FIPST,MSTATE,FIPST_NAME,GSLO,GSHI,a_type,distlocale,SchoolLevel,LocaleCode,LocaleText,data_type,MSC,MSCText,TypeCode,TypeText,PercentPoverty
0620670,Lakeport Unified,06,CA,CALIFORNIA,KG,12,1,32,03-Elementary/secondary school system,32,Town: Distant,MetroMicro,2,Micropolitan Area,1,Regular School District,28.1440162271805
0620910,Larkspur-Corte Madera,06,CA,CALIFORNIA,KG,08,1,21,01-Elementary school system only,21,Suburb: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,4.75534114403859
0642580,Laytonville Unified,06,CA,CALIFORNIA,KG,12,1,43,03-Elementary/secondary school system,43,Rural: Remote,MetroMicro,2,Micropolitan Area,1,Regular School District,31.554524361949
0621360,Lemoore Union Elementary,06,CA,CALIFORNIA,KG,08,1,23,01-Elementary school system only,23,Suburb: Small,MetroMicro,1,Metropolitan Area,1,Regular School District,15.7135753356539
0621400,Lemoore Union High,06,CA,CALIFORNIA,09,12,1,23,02-Secondary school system only,23,Suburb: Small,MetroMicro,1,Metropolitan Area,1,Regular School District,15.7185628742515
0621540,Liberty Elementary,06,CA,CALIFORNIA,KG,12,1,23,01-Elementary school system only,23,Suburb: Small,MetroMicro,1,Metropolitan Area,1,Regular School District,4.09356725146199
0621900,Linns Valley-Poso Flat Union,06,CA,CALIFORNIA,KG,08,1,42,01-Elementary school system only,42,Rural: Distant,MetroMicro,1,Metropolitan Area,1,Regular School District,19.4444444444444
0621930,Little Lake City Elementary,06,CA,CALIFORNIA,KG,08,1,21,01-Elementary school system only,21,Suburb: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,12.7258597241111
0622590,Los Alamitos Unified,06,CA,CALIFORNIA,KG,12,1,21,03-Elementary/secondary school system,21,Suburb: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,4.77668330859533
0622800,Los Gatos-Saratoga Joint Union High,06,CA,CALIFORNIA,09,12,1,21,02-Secondary school system only,21,Suburb: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,4.86546258754147
0623340,Madera Unified,06,CA,CALIFORNIA,KG,12,1,13,03-Elementary/secondary school system,13,City: Small,MetroMicro,1,Metropolitan Area,1,Regular School District,33.6627641781967
0600022,Mendota Unified,06,CA,CALIFORNIA,KG,12,1,41,03-Elementary/secondary school system,41,Rural: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,34.7131147540984
0624570,Menlo Park City Elementary,06,CA,CALIFORNIA,KG,08,1,21,01-Elementary school system only,21,Suburb: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,2.59301014656144
0624720,Mesa Union Elementary,06,CA,CALIFORNIA,KG,12,1,41,01-Elementary school system only,41,Rural: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,13.7640449438202
0625190,Modoc Joint Unified,06,CA,CALIFORNIA,KG,12,1,33,03-Elementary/secondary school system,33,Town: Remote,MetroMicro,0,No Type Code,1,Regular School District,24.4919786096257
0625470,Montebello Unified,06,CA,CALIFORNIA,KG,12,1,21,03-Elementary/secondary school system,21,Suburb: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,23.0536680870667
0625740,Moraga Elementary,06,CA,CALIFORNIA,KG,08,1,21,01-Elementary school system only,21,Suburb: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,3.33633904418395
0626040,Mt. Shasta Union Elementary,06,CA,CALIFORNIA,KG,08,1,33,01-Elementary school system only,33,Town: Remote,MetroMicro,0,No Type Code,1,Regular School District,22.0963172804533
0626070,Mountain Elementary,06,CA,CALIFORNIA,KG,06,1,22,01-Elementary school system only,22,Suburb: Midsize,MetroMicro,1,Metropolitan Area,1,Regular School District,7.07964601769912
0626100,Mountain Empire Unified,06,CA,CALIFORNIA,KG,12,1,42,03-Elementary/secondary school system,42,Rural: Distant,MetroMicro,1,Metropolitan Area,1,Regular School District,18.2347670250896
0626220,Mountain View Elementary,06,CA,CALIFORNIA,KG,08,1,12,01-Elementary school system only,12,City: Midsize,MetroMicro,1,Metropolitan Area,1,Regular School District,10.5503355704698
