National Center for Education Statistics,,,,,,,,,,,,
Education Finance Peer Tool,,,,,,,,,,,,
The file contains (980) records based on your search.,,,,,,,,,,,,
NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user.,,,,,,,,,,,,
LEAID,DistrictName,State,SchoolLevel,GradeSpanLow,GradeSpanHigh,ZipCode,TotalCurrentExpendituresPerStudent,InstructionalExpendituresPerStudent,StudentandStaffSupportPerStudent,AdministrationPerStudent,OperationsPerStudent,v33
0607200,Campbell Union,CALIFORNIA,01-Elementary school system only,KG,08,95008,13527.0177368349,8636.32613776983,1591.36532380036,1869.79238278565,1429.53389247903,7273
0607230,Campbell Union High,CALIFORNIA,02-Secondary school system only,09,12,95124,13624.4710434047,8635.11062749365,1452.42413251118,1907.62906540926,1629.30721799057,8271
0607260,Camptonville Elementary,CALIFORNIA,01-Elementary school system only,KG,12,95922,18041.6666666667,10187.5,20.8333333333333,3916.66666666667,3916.66666666667,48
0607350,Canyon Elementary,CALIFORNIA,01-Elementary school system only,KG,08,94516,13558.8235294118,7308.82352941176,279.411764705882,4647.05882352941,1323.52941176471,68
0607410,Capay Joint Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95963,9311.55778894472,6145.72864321608,50.251256281407,1743.71859296482,1371.85929648241,199
0607440,Capistrano Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92675,10664.6541679907,6963.94449740494,1045.20707552166,1242.09299862303,1413.40959644105,47205
0607470,Cardiff Elementary,CALIFORNIA,01-Elementary school system only,KG,06,92007,16099.2805755396,10261.8705035971,1135.25179856115,2296.40287769784,2405.75539568345,695
0607500,Carlsbad Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92009,11269.7759887994,7314.05320266013,1013.65068253413,1496.67483374169,1445.39726986349,11428
0607530,Carmel Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93922,24025.9424402108,14084.7182813133,2420.34860154033,3567.08552898257,3953.79002837454,2467
0607560,Carpinteria Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93013,14971.9797887,8745.52135966927,1468.99402847956,2507.11988975655,2250.34451079467,2177
0600067,Caruthers Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93609,13778.5145888594,7615.38461538462,1274.53580901857,2001.32625994695,2887.26790450928,1508
0607680,Cascade Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96007,14765.0943396226,8947.16981132075,1195.28301886792,1915.09433962264,2707.54716981132,1060
0607740,Castaic Union,CALIFORNIA,01-Elementary school system only,KG,08,91355,10822.7785959745,6648.99361806578,897.398134511537,1533.62788414335,1742.7589592538,2037
0607770,Castle Rock Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96017,15625,7484.375,218.75,2937.5,4984.375,64
0607800,Castro Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94546,11859.9633185888,7218.47016938181,1443.52141547092,1629.30197432301,1568.6697594131,9269
0607840,Cayucos Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93430,19755.5555555556,11955.5555555556,1016.66666666667,4372.22222222222,2411.11111111111,180
0607900,Center Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95843,12916.2922676756,8164.57791440057,1008.74911326555,1630.1726176401,2112.79262236935,4229
0607920,Centinela Valley Union High,CALIFORNIA,02-Secondary school system only,09,12,90260,16522.2919937206,9352.74725274725,1792.93563579278,2296.7032967033,3079.90580847724,6370
0607950,Central Elementary,CALIFORNIA,01-Elementary school system only,KG,08,91730,11154.2233117896,6980.61065299755,1229.99777133943,1271.22799197682,1672.38689547582,4487
0607970,Central Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93722,11995.1514388263,6994.2069139223,1518.60714060827,1305.77419557962,2176.56318871608,15881
